artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Ariana Grande,51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),0.0657,0.645,228639,0.663,3.18e-05,5,0.0751,-8.305,1,0.0447,115.83,4,0.287,91
Benson Boone,6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,0.151,0.472,180304,0.471,0.0,10,0.14,-5.692,1,0.0603,105.029,3,0.219,100
Djo,3qhlB30KknSejmIvZZLjOD,End of Beginning,0.0351,0.689,159246,0.454,0.00259,2,0.0707,-7.643,1,0.0584,159.982,4,0.912,96
¥$,3w0w2T288dec0mgeZZqoNN,CARNIVAL,0.189,0.594,264324,0.811,0.0,1,0.339,-5.746,1,0.159,148.144,4,0.311,97
Tate McRae,3rUGC1vUpkDG9CZFHMur1t,greedy,0.256,0.75,131872,0.733,0.0,6,0.114,-3.18,0,0.0319,111.018,1,0.844,97
Ariana Grande,5D34wRmbFS29AjtTOP2QJe,"yes, and?",0.194,0.785,214994,0.766,7.57e-05,1,0.107,-6.551,1,0.0503,119.029,4,0.804,84
Taylor Swift,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,0.117,0.552,178427,0.702,2.06e-05,9,0.105,-5.707,1,0.157,169.994,4,0.564,97
Teddy Swims,17phhZDn6oGtzMe56NuWvj,Lose Control,0.199,0.561,210689,0.604,1.9e-05,9,0.104,-4.409,1,0.0337,159.92,3,0.242,93
Beyoncé,7AYmToZ5y67fBjq4RLFbuq,TEXAS HOLD 'EM,0.588,0.725,235636,0.709,0.0,2,0.135,-6.514,1,0.072,110.024,4,0.353,87
The Weeknd,1VNWdmXSbaNrnWod10WIL0,"One Of The Girls (with JENNIE, Lily Rose Depp)",0.0524,0.531,244685,0.652,1.39e-06,8,0.162,-6.249,1,0.0325,87.521,4,0.179,86
Ariana Grande,0Lmbke3KNVFXtoH2mMSHCw,the boy is mine,0.149,0.796,173640,0.623,0.0,7,0.0746,-5.819,0,0.0522,98.003,4,0.443,88
FloyyMenor,6XjDF6nds4DE2BBbagZol6,Gata Only,0.446,0.791,222000,0.499,2.41e-05,8,0.0899,-8.472,0,0.0509,99.986,4,0.669,93
Ariana Grande,1Rweq7vNjK4kZBbGrmxQsl,bye,0.217,0.638,164927,0.647,0.0,2,0.156,-4.834,0,0.028,110.003,4,0.51,87
Mitski,3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,0.868,0.504,137773,0.308,0.135,9,0.158,-14.958,1,0.0321,113.95,4,0.121,96
Ariana Grande,3RwWW7KeVhHGayYJgUL5eZ,eternal sunshine,0.537,0.658,210200,0.505,0.0,9,0.113,-6.947,1,0.105,159.947,4,0.331,87
Xavi,0R6NfOiLzLj4O5VbYSJAjf,La Diabla,0.255,0.751,172264,0.819,0.0,11,0.236,-4.372,0,0.0409,131.842,3,0.697,96
Noah Kahan,0mflMxspEfB0VbI1kyLiAv,Stick Season,0.782,0.662,182347,0.488,0.0,9,0.102,-6.894,1,0.0682,117.913,4,0.817,96
Ariana Grande,142PiXzA84lmEw2RstFHFa,supernatural,0.0971,0.57,163382,0.729,0.0,8,0.128,-6.839,1,0.104,76.56,4,0.519,86
Feid,7bywjHOc0wSjGGbj04XbVi,LUNA,0.131,0.774,196800,0.86,0.0,7,0.116,-2.888,0,0.13,100.019,4,0.446,95
Ariana Grande,0o3ua5ufFK7nfRzbDUNoGA,don't wanna break up again,0.456,0.41,174006,0.726,0.0,9,0.11,-5.204,0,0.33,193.956,4,0.556,86
21 Savage,52eIcoLUM25zbQupAZYoFh,redrum,0.00529,0.624,270698,0.74,0.000224,2,0.5,-8.445,1,0.0481,172.089,4,0.246,95
SZA,1bjeWoagtHmUKputLVyDxQ,Saturn,0.62,0.411,186192,0.619,0.0,1,0.11,-6.834,1,0.0368,177.937,4,0.337,92
Travis Scott,42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),0.0316,0.569,191701,0.882,0.0,3,0.142,-2.777,0,0.06,148.038,4,0.201,93
Ariana Grande,14kyXBpg91RVq8bNRDS1q2,true story,0.478,0.725,163278,0.526,1.63e-05,9,0.312,-6.179,0,0.0629,137.962,4,0.377,86
Ariana Grande,2o1pb13quMReXZqE7jWsgq,intro (end of the world),0.671,0.501,92400,0.373,0.0,10,0.177,-9.488,1,0.0493,84.682,4,0.38,86
Jack Harlow,4xhsWYTOGcal8zt0J161CU,Lovin On Me,0.0026,0.943,138411,0.558,2.19e-06,2,0.0937,-4.911,1,0.0568,104.983,4,0.606,95
Natasha Bedingfield,3U5JVgI2x4rDyHGObzJfNf,Unwritten,0.00584,0.706,259333,0.8,0.0,5,0.0822,-6.333,1,0.0399,100.011,4,0.629,93
Ariana Grande,5cQX9BexkPIEESTZijJhXg,i wish i hated you,0.855,0.577,153633,0.246,0.0,7,0.105,-9.169,1,0.0334,65.418,4,0.296,85
